bioID,height,weight,birthDate
bibrzag01w,74.0,168,1982-10-21
birdsu01w,69.0,150,1980-10-16
bjedoni01w,78.0,195,1971-05-18
bjorkan01w,72.0,166,1989-07-14
bjorkte01w,76.0,175,1982-06-29
blackch01w,77.0,188,1985-11-12
blackde01w,63.0,124,1966-07-29
bladerh01w,67.0,138,1972-10-29
blodgci01w,69.0,130,1975-12-23
blueni01w,68.0,163,1984-03-29
blueoc01w,73.0,163,1976-08-18
bobbish01w,62.0,130,1985-12-06
boddiwh01w,69.0,149,1987-01-23
boldeba01w,74.0,180,1969-06-16
boltoru01w,69.0,150,1967-05-25
bondla01w,67.0,132,1984-02-13
bonfisu01w,68.0,145,1974-09-08
bonnede01w,76.0,136,1987-08-21
bookeka01w,73.0,170,1965-04-10
bosweca01w,72.0,168,1962-11-10
bouceje01w,68.0,130,1973-12-20
bouchke01w,74.0,163,1968-01-13
bowenli01w,67.0,145,1983-10-25
boydca01w,73.0,172,1975-10-31
bradlki01w,77.0,185,1974-08-26
branzal01w,76.0,180,1971-07-17
branzge01w,76.0,175,1976-07-25
braxtja01w,75.0,178,1973-10-06
braxtka01w,78.0,210,1983-02-18
brazian01w,74.0,169,1976-09-18
brcanra01w,80.0,198,1967-04-15
brelaje01w,75.0,170,1988-02-23
bristre01w,70.0,139,1978-02-10
brogami01w,73.0,177,1973-02-08
brondsa01w,67.0,136,1968-08-20
brownci01w,74.0,183,1965-03-16
brownco01w,69.0,150,1980-10-21
browned01w,69.0,163,1978-07-01
brownki01w,70.0,134,1979-01-13
brownla01w,75.0,180,1972-12-01
brownle01w,72.0,166,1977-06-03
brownru01w,74.0,175,1972-05-05
brumfma01w,68.0,133,1978-06-06
brungje01w,73.0,165,1982-04-16
brunsre01w,75.0,175,1981-12-11
bullevi01w,75.0,185,1967-10-04
burgean01w,67.0,141,1969-04-10
burgehe01w,77.0,195,1971-11-11
burgehe02w,77.0,180,1971-11-11
burgeli01w,73.0,173,1969-07-27
burraal01w,75.0,218,1975-06-23
burseja01w,77.0,199,1979-05-19
buttsta01w,71.0,160,1982-03-10
byearla01w,71.0,206,1973-08-12
byrdla01w,66.0,131,1960-02-01
cabezli01w,75.0,178,1973-10-25
cainke01w,78.0,220,1989-05-16
camba01w,80.0,215,1991-08-18
campbed01w,68.0,152,1968-11-26
campbmi01w,77.0,170,1974-02-20
cantydo01w,69.0,162,1977-03-02
careyja01w,66.0,135,1981-03-12
carsoes01w,72.0,165,1986-07-28
carteam01w,74.0,185,1982-06-21
cartede01w,72.0,185,1972-01-03
cashsw01w,73.0,162,1979-09-22
cassija01w,75.0,187,1978-09-12
castriz01w,72.0,140,1982-03-13
catchta01w,73.0,167,1979-07-21
caufila01w,69.0,159,1980-05-25
cebriel01w,77.0,190,1971-02-07
chacoke01w,69.0,151,1974-12-21
chambco01w,69.0,160,1985-07-06
chanequ01w,71.0,160,1986-04-14
chapmji01w,75.0,206,1979-11-04
charlda01w,75.0,141,1968-11-22
charlti01w,76.0,198,1988-12-05
chaseso01w,69.0,150,1976-03-09
cheekjo01w,73.0,201,1988-06-25
cheruam01w,70.0,140,1970-04-18
chestfe01w,75.0,180,1988-03-24
choneka01w,75.0,180,1981-01-11
chriska01w,74.0,171,1980-11-16
chriska02w,72.0,180,1989-09-11
chrissh01w,73.0,170,1982-02-15
cironkr01w,68.0,150,1987-05-19
clarkal01w,70.0,167,1987-07-07
clearmi01w,66.0,126,1974-07-16
clinest01w,65.0,148,1978-04-22
coggicl01w,71.0,170,1985-05-19
cokermo01w,73.0,180,1982-11-28
colemco01w,72.0,170,1981-04-13
colemma01w,73.0,160,1987-01-04
colleka01w,70.0,145,1971-03-17
colsosy01w,68.0,140,1989-08-06
compame01w,69.0,143,1975-09-18
congran01w,74.0,183,1970-06-03
conklab01w,75.0,175,1975-02-10
consuca01w,68.0,144,1979-03-04
coopeca01w,76.0,176,1979-02-05
coopecy01w,70.0,150,1963-04-14
crawlsy01w,77.0,187,1972-09-27
crockda01w,73.0,158,1981-02-11
crockwi01w,74.0,215,1984-07-05
cronika01w,72.0,155,1977-09-08
crosssh01w,70.0,155,1983-09-07
crumpca01w,70.0,158,1962-10-29
cummiki01w,75.0,188,1963-08-29
cunnibe01w,72.0,163,1975-06-05
cunnida01w,72.0,187,1980-01-27
currimo01w,72.0,177,1983-02-25
curryed01w,64.0,138,1979-07-09
dalesst01w,72.0,155,1979-09-05
daleygr01w,66.0,147,1978-06-26
darlihe01w,66.0,164,1978-08-29
davenje01w,77.0,215,1985-06-24
davisbr01w,72.0,172,1983-01-01
daviscl01w,73.0,165,1967-06-04
davisde01w,67.0,138,1984-11-08
davisla01w,67.0,145,1974-10-08
davista01w,70.0,160,1972-09-25
dedenka01w,76.0,170,1969-09-23
deforan01w,70.0,160,1976-04-14
derevje01w,70.0,140,1982-03-29
desouer01w,77.0,190,1982-03-03
dickeke01w,71.0,165,1978-04-20
dillata01w,69.0,154,1981-05-06
dixonta01w,69.0,148,1975-12-14
doagela01w,66.0,137,1975-05-15
domonna01w,70.0,132,1975-09-28
donapbe01w,74.0,195,1980-08-27
doronsh01w,69.0,145,1985-04-01
dossaci01w,77.0,187,1975-01-31
douglka01w,72.0,167,1979-05-07
duffyme01w,67.0,135,1984-07-13
dunlavi01w,73.0,160,1989-09-19
dupreca01w,74.0,162,1984-08-16
dydekka01w,79.0,190,1970-03-21
edwarmi01w,69.0,150,1966-03-06
edwarsi01w,76.0,164,1973-11-17
edwarte01w,71.0,155,1964-07-09
edwarto01w,70.0,160,1968-03-13
elysh01w,74.0,182,1983-08-09
enissh01w,73.0,185,1974-12-03
erbsu01w,78.0,240,1977-07-25
ervinla01w,76.0,171,1985-03-24
evansde01w,64.0,125,1970-10-11
fallotr01w,75.0,165,1972-07-23
farriba01w,75.0,200,1976-09-10
feastal01w,71.0,168,1976-02-11
feifesu01w,73.0,162,1979-01-29
ferdima01w,69.0,153,1978-10-13
fernama01w,71.0,138,1981-12-21
ferrama01w,75.0,190,1972-02-11
figgsuk01w,69.0,142,1977-03-31
fijalis01w,77.0,200,1972-05-23
firsool01w,78.0,215,1976-04-23
floremi01w,66.0,125,1977-10-19
flukety01w,77.0,209,1984-12-27
folklkr01w,74.0,190,1975-12-19
fordch01w,75.0,198,1981-06-06
fordki01w,70.0,153,1975-04-04
fordst01w,74.0,185,1969-01-14
fosteto01w,73.0,175,1971-10-16
fowlesy01w,78.0,200,1985-10-06
francde01w,70.0,193,1975-08-24
frankaq01w,64.0,154,1985-09-29
frazeme01w,75.0,191,1987-03-29
freemla01w,73.0,175,1971-03-17
fresest01w,68.0,126,1976-09-23
frettla01w,75.0,170,1975-06-12
friertr01w,74.0,186,1979-08-23
frohlli01w,75.0,185,1979-06-23
frostsh01w,76.0,184,1966-12-19
futreca01w,70.0,154,1982-07-10
gaithka01w,75.0,170,1975-08-13
gamblam01w,70.0,163,1964-12-17
ganttr01w,74.0,181,1971-10-10
garcibe01w,65.0,135,1976-09-03
gardike01w,73.0,168,1984-05-19
gardnan01w,75.0,190,1979-12-23
garnean01w,75.0,160,1979-01-05
gaydeco01w,69.0,150,1971-05-11
gaypi01w,71.0,183,1974-08-21
gearlka01w,73.0,184,1984-10-26
gessiki01w,75.0,175,1970-12-29
gibsoke01w,70.0,136,1976-11-10
gilloje01w,75.0,180,1964-06-13
gilmous01w,71.0,158,1978-08-24
gisseka01w,73.0,178,1985-07-27
godbyli01w,78.0,163,1968-10-17
gomisem01w,71.0,134,1983-10-18
goodemo01w,66.0,130,1972-02-08
goodeti01w,71.0,165,1975-10-23
goodlsa01w,77.0,239,1990-08-09
goodsad01w,72.0,165,1966-10-19
gordobr01w,72.0,159,1967-04-27
goringi01w,79.0,225,1983-06-07
gortmsh01w,70.0,158,1979-12-07
grahama01w,75.0,240,1970-12-18
granter01w,68.0,125,1984-06-13
gravede01w,77.0,212,1975-09-16
graylal01w,68.0,176,1987-04-21
grecomi01w,69.0,145,1980-03-24
greenci01w,77.0,183,1983-04-04
greenka01w,70.0,170,1987-07-13
grginve01w,73.0,160,1975-01-13
griffke01w,74.0,179,1987-07-02
griffyo01w,75.0,188,1970-03-01
groomla01w,70.0,160,1970-09-12
grubigo01w,71.0,165,1972-08-20
grudasa01w,76.0,185,1987-06-25
guytowa01w,73.0,178,1965-10-14
hagiwmi01w,71.0,161,1970-04-27
hairska01w,72.0,150,1985-08-18
hallam01w,75.0,180,1977-12-29
hallvi01w,73.0,180,1969-10-03
hamblan01w,70.0,170,1976-09-30
hammobe01w,66.0,136,1977-03-11
hamptky01w,74.0,210,1962-11-03
hamzoro01w,69.0,152,1970-08-17
hardili01w,68.0,139,1984-06-12
hardish01w,69.0,165,1969-06-27
harpela01w,77.0,190,1986-04-11
harriam01w,77.0,202,1988-01-16
harrido01w,75.0,190,1966-09-29
harrifr01w,72.0,154,1965-03-12
harrili01w,73.0,164,1971-01-02
harrokr01w,64.0,139,1975-03-04
haydeva01w,76.0,240,1982-06-05
haynikr01w,69.0,147,1983-06-17
headde01w,70.0,160,1970-08-16
hedgpch01w,69.0,143,1972-02-17
hendene01w,68.0,144,1973-02-28
hendetr01w,75.0,200,1974-12-31
henniso01w,67.0,143,1969-10-04
henryan01w,75.0,205,1986-02-13
herriam01w,76.0,189,1977-06-06
hibbeka01w,70.0,140,1977-09-29
hicksje01w,76.0,188,1971-12-02
hightal01w,70.0,139,1988-04-06
hillec01w,67.0,173,1971-04-06
hledeko01w,69.0,150,1975-03-29
hodgeda01w,73.0,170,1968-01-21
hodgedo01w,69.0,160,1982-07-19
hodgero01w,71.0,165,1982-07-19
hoffmeb01w,74.0,215,1982-08-27
holdsch01w,74.0,172,1977-08-09
hollake01w,68.0,129,1974-11-05
holliqu01w,77.0,201,1988-11-15
holmejo01w,70.0,150,1969-03-31
holmese01w,73.0,155,1986-06-13
holtam01w,72.0,168,1985-06-07
hopeky01w,74.0,165,1977-11-23
hopsosu01w,74.0,175,1974-06-21
hornbal01w,71.0,155,1985-10-16
houstch01w,72.0,189,1986-04-10
houtsas01w,66.0,140,1987-12-31
howarje01w,66.0,130,1975-01-21
howarme01w,69.0,145,1972-04-02
hudsopa01w,71.0,139,1968-09-19
humphta01w,75.0,190,1985-12-29
irvinsa01w,75.0,185,1982-02-23
ivanyda01w,70.0,135,1976-03-18
iveyni01w,67.0,149,1977-09-24
jacksan01w,76.0,205,1976-03-30
jacksde01w,74.0,155,1979-12-15
jacksgw01w,75.0,182,1980-10-23
jacksla01w,77.0,187,1981-05-11
jacksta01w,75.0,179,1962-12-03
jacksta02w,66.0,118,1978-04-22
jacksti01w,71.0,148,1972-04-21
jacksti02w,75.0,185,1985-04-26
jacobam01w,68.0,152,1982-06-29
jacobje01w,68.0,130,1973-02-20
jamesta01w,69.0,158,1984-06-13
januabr01w,68.0,144,1987-01-11
jekaban01w,69.0,180,1983-08-12
joensca01w,71.0,165,1981-02-12
johnsad01w,70.0,154,1974-02-05
johnsch01w,75.0,185,1981-03-19
johnsda01w,74.0,197,1973-02-19
johnsgl01w,75.0,170,1990-07-27
johnsja01w,72.0,201,1979-03-16
johnsla01w,73.0,150,1975-08-17
johnsle01w,74.0,220,1975-01-12
johnsni01w,69.0,146,1973-02-07
johnspo01w,75.0,165,1975-11-06
johnssh01w,67.0,152,1974-08-18
johnste01w,63.0,132,1982-09-06
johnsti01w,76.0,240,1975-12-27
johnsvi01w,69.0,150,1972-04-15
jollyke01w,69.0,148,1977-05-03
jonesas01w,74.0,196,1980-08-01
jonesch01w,69.0,150,1982-03-25
jonesja01w,69.0,158,1978-09-13
jonesla01w,73.0,180,1977-07-24
jonesma01w,70.0,150,1975-10-12
jonesme01w,69.0,147,1973-07-21
jordapa01w,75.0,205,1968-04-27
joyneja01w,70.0,154,1962-03-03
kaplaan01w,77.0,180,1973-04-22
kausaan01w,72.0,155,1970-11-30
kellycr01w,74.0,190,1986-09-15
kingbsu01w,67.0,135,1981-07-27
kingija01w,68.0,150,1976-01-20
kizerly01w,76.0,215,1990-04-04
klimezu01w,74.0,181,1979-01-21
kobryew01w,75.0,210,1982-05-07
koehnla01w,68.0,145,1982-05-13
korstil01w,70.0,160,1980-05-30
kossgr01w,73.0,145,1974-06-12
kostaan01w,67.0,137,1978-03-26
kostita01w,73.0,163,1972-11-10
kraayca01w,76.0,180,1981-09-30
kubikni01w,69.0,145,1978-03-01
kukloan01w,72.0,150,1971-07-16
laceyal01w,72.0,159,1987-12-26
lacyje01w,75.0,175,1983-03-21
lacyna01w,70.0,165,1985-07-08
lacyve01w,76.0,234,1967-02-09
lambesh01w,67.0,125,1980-07-21
lambmo01w,77.0,206,1964-10-11
langeme01w,78.0,205,1969-04-28
langhcr01w,74.0,184,1986-10-27
langja01w,72.0,185,1972-06-23
larakr01w,68.0,130,1969-09-30
larkier01w,73.0,210,1986-04-02
lassiam01w,73.0,160,1979-06-09
lattaiv01w,66.0,143,1984-09-24
lavenja01w,76.0,185,1988-11-12
lawsoed01w,66.0,130,1979-05-14
lawsoka01w,69.0,165,1981-02-14
lazicka01w,70.0,147,1980-05-25
lehnish01w,69.0,147,1986-10-27
lennobe01w,68.0,143,1976-12-04
leslili01w,77.0,170,1972-07-07
leuchye01w,77.0,195,1983-04-30
levanni01w,68.0,163,1979-05-17
levesni01w,63.0,115,1972-04-11
lewista01w,74.0,212,1979-07-10
lewisty01w,70.0,152,1979-05-08
liebena01w,70.0,150,1958-07-01
lilleta01w,66.0,130,1988-02-29
littlca01w,74.0,180,1985-01-18
lloydan01w,74.0,175,1965-02-09
lobore01w,76.0,190,1973-10-06
lovelst01w,76.0,170,1974-12-05
luckepa01w,73.0,165,1975-05-14
luzhe01w,68.0,144,1972-11-23
lyttlsa01w,76.0,175,1983-09-20
mabikmw01w,71.0,165,1976-07-27
macchla01w,73.0,169,1979-05-24
machacl01w,77.0,180,1976-10-04
mahonme01w,72.0,160,1983-02-13
mahonsh01w,76.0,178,1977-07-03
maigaha01w,73.0,160,1978-04-25
malcona01w,73.0,170,1975-11-27
malloam01w,64.0,148,1970-04-21
malloso01w,77.0,210,1981-09-02
maltsev01w,71.0,165,1978-12-20
mannish01w,75.0,186,1969-03-20
mannkr01w,73.0,185,1983-08-10
mapprh01w,74.0,190,1969-10-13
marcimi01w,70.0,154,1973-10-29
margiga01w,73.0,164,1987-02-12
martima01w,76.0,172,1978-04-17
martinu01w,69.0,167,1984-02-29
mascira01w,72.0,169,1980-09-30
maslemi01w,74.0,170,1974-10-10
matteca01w,69.0,167,1982-08-22
matteka01w,80.0,240,1982-11-17
maxwean01w,71.0,186,1974-04-07
maxwemo01w,69.0,162,1976-12-21
mazzake01w,72.0,155,1982-02-02
mccaibr01w,63.0,135,1979-09-21
mccaiti01w,70.0,167,1976-10-06
mccanra01w,73.0,161,1986-11-17
mccarja01w,74.0,205,1982-11-03
mccarjo01w,67.0,130,1974-10-26
mccarst01w,69.0,155,1977-06-20
mcclaka01w,74.0,180,1965-09-19
mcconsu01w,65.0,125,1966-07-29
mccouan01w,73.0,160,1986-09-10
mccrada01w,71.0,170,1987-10-08
mccrani01w,71.0,158,1971-12-11
mccrini01w,68.0,125,1972-03-22
mcculda01w,75.0,180,1975-01-18
mcgeepa01w,75.0,200,1962-12-01
mcgheca01w,73.0,179,1968-03-06
mckivte01w,75.0,220,1980-10-05
mcwilta01w,74.0,188,1970-10-20
melvich01w,75.0,185,1976-05-03
mendigi01w,71.0,174,1982-01-09
miaomi01w,71.0,153,1981-06-03
milleco01w,69.0,140,1978-09-06
milleke01w,70.0,140,1978-09-06
millsta01w,75.0,232,1976-02-29
miltode01w,73.0,185,1974-09-11
mitchle01w,65.0,130,1985-06-15
mizrali01w,67.0,130,1970-06-24
moeggli01w,73.0,195,1984-05-25
moisead01w,66.0,140,1978-12-06
monroja01w,77.0,162,1988-09-04
montaan01w,73.0,190,1980-10-24
montgal01w,73.0,185,1988-11-12
montgre01w,67.0,139,1986-12-02
mooreja01w,73.0,207,1979-11-06
mooreje01w,75.0,175,1982-07-09
moorelo01w,69.0,165,1983-03-21
moorema01w,72.0,175,1989-06-11
moorena01w,70.0,145,1984-11-04
moorepe01w,72.0,135,1969-01-25
mooreta01w,71.0,167,1980-04-11
mooreyo01w,72.0,174,1974-07-01
moosca01w,78.0,182,1978-05-23
morehmo01w,75.0,175,1974-01-18
morrije01w,69.0,146,1987-07-21
morrila01w,73.0,160,1974-05-26
mosbybe01w,73.0,172,1984-02-14
mosleju01w,73.0,170,1968-03-17
moweje01w,77.0,236,1978-02-25
mulitna01w,75.0,207,1976-03-06
murphsh01w,71.0,164,1985-04-15
nagyan01w,67.0,147,1971-11-16
nanch01w,78.0,204,1983-01-06
ndiayas01w,75.0,182,1973-11-05
ndongem01w,74.0,170,1983-04-25
nemcoev01w,74.0,178,1972-12-03
neroja01w,71.0,180,1968-11-08
nevescl01w,68.0,136,1975-02-17
newtoch01w,71.0,154,1983-02-17
ngarsch01w,75.0,168,1983-06-23
ngoyibe01w,76.0,195,1982-08-26
nichoti01w,63.0,146,1973-09-27
nieuwma01w,77.0,180,1980-04-12
nikolmi01w,75.0,185,1971-07-04
nnamach01w,72.0,156,1985-06-15
nolande01w,69.0,147,1979-08-25
nygaava01w,73.0,166,1975-03-13
ogayu01w,66.0,140,1982-10-17
oheaje01w,73.0,174,1987-06-06
ohldeni01w,77.0,190,1982-03-13
olajuab01w,76.0,236,1988-07-06
oneilkr01w,73.0,158,1983-04-12
orrki01w,66.0,141,1975-09-16
osipoir01w,77.0,190,1981-06-25
owenhe01w,77.0,212,1976-05-06
owenssh01w,74.0,175,1978-05-16
pageda01w,74.0,179,1986-11-14
pagemu01w,74.0,160,1975-09-18
paigeyo01w,66.0,147,1983-09-18
paliesa01w,67.0,159,1981-07-23
palmewe01w,74.0,165,1974-08-12
parisco01w,76.0,250,1987-09-21
parkeca01w,76.0,175,1986-04-19
pascafl01w,76.0,187,1982-01-19
paschti01w,73.0,165,1969-03-22
pavlimi01w,75.0,175,1977-11-27
payeka01w,68.0,150,1974-03-06
pederka01w,76.0,190,1989-04-04
penicti01w,71.0,145,1974-09-18
pennjo01w,72.0,160,1979-09-10
perazja01w,72.0,170,1960-12-06
perkiji01w,68.0,155,1982-02-23
perpeer01w,75.0,181,1979-06-05
perroki01w,65.0,130,1967-01-18
peterde01w,74.0,170,1989-10-08
pettibr01w,69.0,150,1971-01-01
philler01w,67.0,162,1985-05-19
phillpo01w,74.0,173,1988-01-13
phillta01w,74.0,200,1969-03-06
phillta02w,78.0,198,1989-01-24
pierspl01w,74.0,181,1981-08-30
pohleje01w,72.0,179,1989-05-02
pollica01w,77.0,165,1966-03-16
pondeca01w,69.0,160,1983-01-07
potthan01w,73.0,191,1974-06-12
powelel01w,68.0,150,1975-08-09
powelni01w,74.0,175,1982-06-22
prahasa01w,67.0,129,1990-01-23
pricear01w,69.0,133,1985-04-03
pricefr01w,69.0,178,1968-04-28
priceka01w,70.0,148,1975-12-03
pridely01w,74.0,180,1978-10-16
princep01w,69.0,167,1988-01-11
pringla01w,75.0,162,1986-09-11
queenbr01w,74.0,185,1984-04-10
quiglal01w,70.0,140,1986-06-20
quinnno01w,72.0,175,1985-01-03
quinnte01w,76.0,165,1974-09-07
radunha01w,75.0,187,1978-01-10
raglafe01w,67.0,133,1980-02-03
randase01w,69.0,164,1979-02-07
rasmukr01w,76.0,174,1978-11-01
ravenbr01w,72.0,162,1988-08-01
raymost01w,65.0,139,1985-01-15
raymota01w,74.0,195,1980-04-12
reddja01w,73.0,164,1977-11-05
reedbr01w,73.0,168,1977-02-17
reedch01w,73.0,165,1989-03-28
reedmi01w,71.0,165,1973-05-24
reidtr01w,71.0,150,1976-11-01
reissta01w,66.0,129,1970-04-02
resska01w,76.0,194,1985-06-26
reynoch01w,74.0,180,1972-02-08
rileyan01w,65.0,136,1988-07-22
rileyru01w,77.0,198,1979-08-28
rizzoje01w,66.0,146,1974-05-15
roberav01w,69.0,145,1970-01-29
roberny01w,75.0,209,1976-03-10
robinas01w,76.0,180,1982-08-12
robincr01w,71.0,155,1974-01-22
robinda01w,69.0,125,1989-05-10
robinre01w,71.0,166,1978-06-15
robinsc01w,71.0,155,1983-01-09
rolanja01w,73.0,167,1975-02-03
rossad01w,68.0,142,1984-11-23
rouilni01w,67.0,130,1970-01-23
roundsa01w,67.0,145,1976-10-04
ruffje01w,71.0,140,1974-09-12
rushle01w,73.0,175,1984-10-25
ryankr01w,71.0,150,1972-11-19
rycraeu01w,75.0,175,1968-12-06
salesny01w,72.0,184,1976-05-10
sampsch01w,71.0,175,1974-09-01
samsh01w,72.0,160,1974-05-05
sanchis01w,70.0,152,1976-11-28
sandeam01w,71.0,156,1983-06-05
sandish01w,72.0,145,1969-01-22
sanfona01w,76.0,200,1976-05-10
santoal01w,77.0,181,1973-12-02
santoke01w,75.0,188,1979-11-10
sarenra01w,78.0,222,1974-06-27
sauerpa01w,76.0,203,1977-12-08
saundja01w,71.0,145,1979-08-21
saureau01w,70.0,163,1976-10-31
savasla01w,68.0,134,1974-03-18
schumke01w,77.0,183,1977-10-14
schwege01w,72.0,160,1979-01-31
scottol01w,74.0,175,1976-08-05
scottra01w,75.0,169,1975-08-12
shakiel01w,75.0,190,1970-06-02
sharpkb01w,69.0,145,1981-04-18
sheetsh01w,66.0,130,1975-08-15
shielas01w,70.0,155,1985-07-15
shulead01w,66.0,153,1969-04-24
simondy01w,65.0,137,1989-09-29
simpsda01w,75.0,160,1969-04-11
slaisma01w,68.0,173,1973-08-23
slauggw01w,75.0,181,1980-07-01
slavtge01w,73.0,160,1979-10-20
smithai01w,74.0,173,1980-07-18
smithbr01w,75.0,195,1984-04-30
smithch01w,67.0,140,1975-08-14
smithch02w,70.0,145,1975-05-02
smithch03w,72.0,148,1973-08-23
smithcr01w,66.0,121,1984-03-12
smithje01w,75.0,198,1982-04-10
smithka01w,71.0,174,1974-06-04
smithki01w,73.0,158,1984-05-07
smithla01w,67.0,150,1974-02-06
smithta01w,76.0,160,1977-04-01
smithwa01w,71.0,175,1985-07-09
snellbe01w,69.0,170,1981-10-01
snowmi01w,77.0,158,1980-03-20
sobrale01w,73.0,183,1974-11-22
sobrama01w,75.0,163,1964-03-23
spencsi01w,75.0,183,1985-03-07
spornra01w,74.0,150,1968-05-26
stafftr01w,73.0,180,1970-11-11
staleda01w,66.0,134,1970-05-04
stansti01w,75.0,183,1983-01-16
starbka01w,73.0,153,1975-07-30
stedika01w,72.0,173,1967-12-11
stepama01w,80.0,187,1979-02-23
stephre01w,71.0,160,1969-12-28
stephst01w,76.0,205,1982-01-21
stevema01w,75.0,166,1982-02-04
stileja01w,68.0,144,1978-12-21
stillva01w,73.0,151,1961-05-14
stinsan01w,70.0,158,1967-11-25
stiresh01w,71.0,208,1972-05-21
stockta01w,74.0,165,1979-01-29
streiju01w,74.0,165,1972-05-14
stricsh01w,74.0,178,1990-07-30
strotan01w,75.0,166,1983-12-11
suberto01w,67.0,137,1974-11-23
summela01w,74.0,167,1983-12-13
sun-mju01w,73.0,168,1974-10-12
suttota01w,76.0,199,1978-01-27
swanike01w,67.0,144,1986-08-10
swoopsh01w,72.0,145,1971-03-25
swordca01w,78.0,210,1989-07-19
tatede01w,68.0,150,1966-05-13
tateso01w,66.0,157,1971-09-07
tauradi01w,72.0,172,1982-06-11
tayloli01w,80.0,200,1981-05-20
taylope01w,73.0,168,1981-05-24
teaslni01w,72.0,169,1979-03-22
teilaza01w,79.0,170,1983-09-24
terryka01w,75.0,183,1983-10-21
thirdtr01w,71.0,160,1968-02-27
thomaca01w,75.0,200,1985-10-31
thomach01w,75.0,185,1982-08-14
thomaja01w,69.0,145,1989-09-30
thomakr01w,77.0,195,1989-06-10
thomala01w,74.0,165,1981-07-06
thomast01w,70.0,154,1978-08-29
thompal01w,73.0,180,1976-06-30
thompam01w,73.0,170,1987-11-18
thomppa01w,73.0,193,1975-01-16
thompti01w,74.0,178,1975-02-10
thorbsh01w,69.0,149,1982-08-07
thorner01w,70.0,150,1981-05-19
threaro01w,67.0,150,1970-07-01
tilliic01w,77.0,165,1981-12-06
timmsmi01w,67.0,132,1965-06-28
tolerpe01w,68.0,132,1966-03-24
tolivkr01w,67.0,130,1987-01-27
torniel01w,73.0,160,1965-05-27
torrele01w,75.0,171,1978-04-06
traviti01w,71.0,145,1978-03-20
tremich01w,66.0,142,1969-10-20
tricetr01w,74.0,180,1965-08-04
tunsine01w,73.0,170,1970-08-22
turneba01w,72.0,172,1984-06-08
tutermo01w,72.0,155,1975-08-25
tuvicsl01w,76.0,194,1977-09-19
tzekopo01w,76.0,189,1968-04-30
udokamf01w,72.0,187,1976-06-16
ujhelpe01w,76.0,200,1980-12-17
umoh-it01w,67.0,140,1977-02-21
valdeam01w,73.0,160,1976-08-18
vandeco01w,68.0,130,1989-02-08
vanemal01w,75.0,175,1968-04-14
vangomi01w,78.0,187,1977-05-10
vaughki01w,76.0,208,1987-01-24
vaughkr01w,73.0,160,1986-09-08
vealkr01w,70.0,150,1981-07-24
veselja01w,75.0,195,1983-12-31
vidicbo01w,69.0,133,1973-01-07
viglida01w,70.0,157,1975-03-07
vilipda01w,76.0,207,1975-03-30
vodicka01w,76.0,190,1972-12-19
vodopna01w,75.0,181,1981-04-06
voigtka01w,73.0,162,1975-04-07
vukadmi01w,73.0,150,1968-11-18
walkeas01w,73.0,200,1987-02-24
walkeay01w,75.0,142,1979-09-10
walkede01w,75.0,168,1977-11-28
walkema01w,75.0,253,1986-10-17
walsema01w,74.0,184,1978-10-28
wardvo01w,78.0,170,1973-03-16
